,country,fully_vaxed,%_fully_vaxed,covid_cases,gdp_rank,gdp,region,population,covid%
0,Afghanistan,3454113.0,8.67,157144.0,116.0,20682000000.0,Asia,39839826.989619374,0.39443946390867934
1,Albania,959555.0,33.4,198292.0,120.0,17210000000.0,Europe,2872919.161676647,6.902108581582087
2,Algeria,5340231.0,11.97,209624.0,54.0,193056000000.0,Africa,44613458.64661654,0.46986717990289184
3,Andorra,49535.0,64.04,16566.0,191.0,0.0,Europe,77350.09369144285,21.416910063591402
4,Angola,2760266.0,8.13,65105.0,65.0,96426000000.0,Africa,33951611.31611316,0.19175820373833538
6,Antigua and Barbuda,56219.0,56.94,4141.0,171.0,1809000000.0,North America,98733.75482964524,4.194107686013625
7,Argentina,29512760.0,64.71,5322127.0,26.0,515352999999.9999,South America,45607726.78102303,11.669353803913966
8,Armenia,436380.0,14.7,336330.0,129.0,13868000000.0,Asia,2968571.4285714286,11.329692011549566
10,Australia,18759075.0,72.74,205269.0,14.0,1481460000000.0,Oceania,25789215.012372836,0.795949003882121
11,Austria,5940535.0,65.69,1108889.0,29.0,481678000000.0,Europe,9043286.649413915,12.262013170530935
12,Azerbaijan,4559877.0,44.6,580507.0,91.0,47429000000.0,Asia,10223939.461883407,5.677918987727082
13,Bahamas,138266.0,34.84,22696.0,130.0,13710000000.0,North America,396859.93111366243,5.718894305179871
14,Bahrain,1159016.0,66.29,277510.0,96.0,40707000000.0,Asia,1748402.4739779755,15.872203576136998
15,Bangladesh,36420699.0,21.9,1575185.0,41.0,343279000000.0,Asia,166304561.64383563,0.9471688475830735
16,Barbados,136738.0,47.53,24432.0,153.0,5339000000.0,North America,287687.7761413844,8.492540186341763
17,Belarus,2560448.0,27.12,646743.0,78.0,63664000000.0,Europe,9441179.94100295,6.850234865148599
18,Belgium,8687099.0,74.68,1679861.0,24.0,553781000000.0,Europe,11632430.36957686,14.441186808162312
19,Belize,190806.0,47.12,30060.0,168.0,2071000000.0,North America,404936.3327674024,7.423389201597433
20,Benin,297726.0,2.39,24850.0,138.0,12129000000.0,Africa,12457154.81171548,0.19948375351833567
22,Bhutan,564142.0,72.34,2633.0,162.0,2939000000.0,Asia,779847.9402820016,0.33762992296265837
23,Bolivia,3948592.0,33.37,533756.0,92.0,47052000000.0,South America,11832759.964039557,4.510832651233654
25,Bosnia and Herzegovina,720641.0,22.08,272063.0,114.0,21343000000.0,Europe,3263772.644927536,8.335844116557343
26,Botswana,469369.0,19.58,194909.0,115.0,20873000000.0,Africa,2397185.9039836572,8.130741953558926
27,Brazil,133606390.0,62.43,22055238.0,9.0,2062500000000.0,South America,214009915.10491753,10.305708494481438
29,Brunei,344914.0,78.12,14771.0,128.0,14281000000.0,Asia,441518.17716333846,3.345502125167433
30,Bulgaria,1762938.0,25.56,684922.0,73.0,71746000000.0,Europe,6897253.521126761,9.930358481126392
31,Burkina Faso,297231.0,1.38,15514.0,124.0,16266000000.0,Africa,21538478.260869566,0.07202922979097065
32,Burundi,778.0,0.01,20360.0,158.0,3714000000.0,Africa,7780000.0,0.2616966580976864
33,Cambodia,13320478.0,78.6,120009.0,103.0,29309000000.0,Asia,16947173.027989823,0.7081358041355572
34,Cameroon,565876.0,2.08,106794.0,95.0,42047000000.0,Africa,27205576.923076924,0.3925445150527678
35,Canada,29008633.0,76.2,1787542.0,10.0,1832490000000.0,North America,38069072.17847769,4.695522894856852
38,Central African Republic,321982.0,6.54,11708.0,166.0,2485000000.0,Africa,4923272.171253823,0.23780931853333415
39,Chad,70521.0,0.42,5107.0,135.0,12547000000.0,Africa,16790714.285714287,0.030415620878887138
